02-13-2022 23:42:53.235,-,API,"Coordinator_802,0013A20041C5375A,802.15.4 TH,2003,COM7 - 115200/8/N/1/N,1,46"

02-13-2022 23:32:57.276,0,RECV,7E0037812222580020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020378B
02-13-2022 23:32:57.729,1,RECV,7E00378122225A00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203888
02-13-2022 23:32:58.280,2,RECV,7E00378122225800202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203989
02-13-2022 23:33:03.232,3,RECV,7E00378122225A00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313976
02-13-2022 23:33:12.790,4,RECV,7E00378122225B00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333874
02-13-2022 23:33:38.797,5,RECV,7E00378122225B00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020393076
02-13-2022 23:34:41.940,6,RECV,7E00378122225900202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032313668
02-13-2022 23:34:44.953,7,RECV,7E0037812222580020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203232326C
02-13-2022 23:34:45.413,8,RECV,7E0037812222590020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203232336A
02-13-2022 23:34:48.928,9,RECV,7E0037812222580020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203233306D
02-13-2022 23:34:50.942,10,RECV,7E00378122225800202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032333469
02-13-2022 23:34:52.949,11,RECV,7E00378122225A00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032333863
02-13-2022 23:36:19.101,12,RECV,7E00378122225B0020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203431306A
02-13-2022 23:36:57.613,13,RECV,7E00378122225B0020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203438375C
02-13-2022 23:37:14.154,14,RECV,7E00378122225C00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202035323067
02-13-2022 23:38:01.727,15,RECV,7E00378122225B00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202036313563
02-13-2022 23:38:31.757,16,RECV,7E00378122225B0020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203637355D
02-13-2022 23:38:35.278,17,RECV,7E00378122225B0020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203638325F
02-13-2022 23:38:47.799,18,RECV,7E00378122225900202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202037303763
02-13-2022 23:39:27.878,19,RECV,7E00378122225C00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202037383758
02-13-2022 23:40:29.482,20,RECV,7E00378122225A00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202039313066
