02-12-2022 10:23:22.641,-,API,"Coordinator_802,0013A20041C5375A,802.15.4 TH,2003,COM7 - 115200/8/N/1/N,1,46"

02-12-2022 10:14:42.002,0,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202020305F
02-12-2022 10:14:42.502,1,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202020315E
02-12-2022 10:14:42.999,2,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202020325D
02-12-2022 10:14:43.500,3,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202020335C
02-12-2022 10:14:44.005,4,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202020345B
02-12-2022 10:14:44.503,5,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202020355A
02-12-2022 10:14:45.005,6,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020203659
02-12-2022 10:14:45.505,7,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020203758
02-12-2022 10:14:46.003,8,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020203857
02-12-2022 10:14:46.503,9,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020203956
02-12-2022 10:14:47.004,10,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202031304E
02-12-2022 10:14:47.504,11,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202031314D
02-12-2022 10:14:48.004,12,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202031324C
02-12-2022 10:14:48.505,13,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202031334B
02-12-2022 10:14:49.003,14,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202031344A
02-12-2022 10:14:49.499,15,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020313549
02-12-2022 10:14:49.999,16,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020313648
02-12-2022 10:14:50.498,17,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020313747
02-12-2022 10:14:50.999,18,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020313846
02-12-2022 10:14:51.559,19,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020313945
02-12-2022 10:14:51.998,20,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202032304D
02-12-2022 10:14:52.497,21,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202032314C
02-12-2022 10:14:52.999,22,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202032324B
02-12-2022 10:14:53.500,23,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202032334A
02-12-2022 10:14:53.998,24,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020323449
02-12-2022 10:14:54.496,25,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020323548
02-12-2022 10:14:55.055,26,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020323647
02-12-2022 10:14:55.556,27,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020323746
02-12-2022 10:14:56.055,28,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020323845
02-12-2022 10:14:56.493,29,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020323944
02-12-2022 10:14:57.056,30,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202033304C
02-12-2022 10:14:57.557,31,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202033314B
02-12-2022 10:14:58.056,32,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202033324A
02-12-2022 10:14:58.538,33,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020333349
02-12-2022 10:14:59.048,34,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020333448
02-12-2022 10:14:59.548,35,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020333547
02-12-2022 10:15:00.049,36,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020333646
02-12-2022 10:15:00.546,37,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020333745
02-12-2022 10:15:01.044,38,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020333844
02-12-2022 10:15:01.543,39,RECV,7E00238122220B0020202020202020202020202020202020202020202020202020202020333943
02-12-2022 10:15:02.044,40,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202034304B
02-12-2022 10:15:02.545,41,RECV,7E00238122220B002020202020202020202020202020202020202020202020202020202034314A
