02-13-2022 22:59:52.937,-,API,"Coordinator_802,0013A20041C5375A,802.15.4 TH,2003,COM7 - 115200/8/N/1/N,1,46"

02-13-2022 22:47:39.669,0,RECV,7E003781222246002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202030A4
02-13-2022 22:47:40.170,1,RECV,7E003781222246002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031A3
02-13-2022 22:47:40.669,2,RECV,7E003781222247002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032A1
02-13-2022 22:47:41.166,3,RECV,7E003781222247002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202033A0
02-13-2022 22:47:42.230,4,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020359E
02-13-2022 22:47:42.670,5,RECV,7E0037812222450020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020369F
02-13-2022 22:47:43.166,6,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020379C
02-13-2022 22:47:43.729,7,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020389B
02-13-2022 22:47:44.225,8,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020399A
02-13-2022 22:47:44.722,9,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313092
02-13-2022 22:47:45.161,10,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313191
02-13-2022 22:47:45.687,11,RECV,7E00378122224500202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313292
02-13-2022 22:47:46.211,12,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031338F
02-13-2022 22:47:46.711,13,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031348E
02-13-2022 22:47:47.213,14,RECV,7E0037812222460020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031358E
02-13-2022 22:47:47.710,15,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031368C
02-13-2022 22:47:48.695,16,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031388A
02-13-2022 22:47:49.187,17,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313989
02-13-2022 22:47:49.680,18,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323091
02-13-2022 22:47:50.233,19,RECV,7E00378122224500202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323192
02-13-2022 22:47:50.683,20,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032328F
02-13-2022 22:47:51.223,21,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032338E
02-13-2022 22:47:51.723,22,RECV,7E0037812222460020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032348E
02-13-2022 22:47:52.221,23,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032358C
02-13-2022 22:47:52.717,24,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032368B
02-13-2022 22:47:53.213,25,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032378A
02-13-2022 22:47:53.709,26,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323889
02-13-2022 22:47:54.207,27,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323988
02-13-2022 22:47:54.707,28,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333090
02-13-2022 22:47:55.209,29,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202033318F
02-13-2022 22:47:55.706,30,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202033328E
02-13-2022 22:47:56.201,31,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202033338D
02-13-2022 22:47:56.693,32,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202033348C
02-13-2022 22:47:57.245,33,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202033358B
02-13-2022 22:47:57.744,34,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202033368A
02-13-2022 22:47:58.237,35,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333789
02-13-2022 22:47:58.721,36,RECV,7E00378122224600202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333889
02-13-2022 22:47:59.213,37,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333987
