02-14-2022 06:50:35.100,-,API,"Coordinator_802,0013A20041C5375A,802.15.4 TH,2003,COM7 - 115200/8/N/1/N,1,46"

02-14-2022 06:41:10.626,0,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203098
02-14-2022 06:41:11.190,1,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203197
02-14-2022 06:41:11.634,2,RECV,7E005F812222510020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203297
02-14-2022 06:41:12.136,3,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203395
02-14-2022 06:41:13.154,4,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203593
02-14-2022 06:41:13.707,5,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203692
02-14-2022 06:41:14.147,6,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203791
02-14-2022 06:41:14.649,7,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203890
02-14-2022 06:41:15.152,8,RECV,7E005F81222252002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020398F
02-14-2022 06:41:15.657,9,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313087
02-14-2022 06:41:16.160,10,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313186
02-14-2022 06:41:16.663,11,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313285
02-14-2022 06:41:17.171,12,RECV,7E005F812222530020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313383
02-14-2022 06:41:17.675,13,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313483
02-14-2022 06:41:18.179,14,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313582
02-14-2022 06:41:18.682,15,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313681
02-14-2022 06:41:19.184,16,RECV,7E005F812222520020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313780
02-14-2022 06:41:19.687,17,RECV,7E005F81222252002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031387F
