02-14-2022 08:17:41.770,-,API,"Coordinator_802,0013A20041C5375A,802.15.4 TH,2003,COM7 - 115200/8/N/1/N,1,46"

02-14-2022 08:08:43.582,0,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203066
02-14-2022 08:08:44.086,1,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203165
02-14-2022 08:08:44.593,2,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203264
02-14-2022 08:08:45.097,3,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203363
02-14-2022 08:08:45.598,4,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203462
02-14-2022 08:08:46.102,5,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203561
02-14-2022 08:08:46.607,6,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203660
02-14-2022 08:08:47.110,7,RECV,7E006981222243002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203760
02-14-2022 08:08:47.614,8,RECV,7E00698122224400202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020385E
02-14-2022 08:08:48.116,9,RECV,7E00698122224400202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020395D
02-14-2022 08:08:48.620,10,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313055
02-14-2022 08:08:49.120,11,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313154
02-14-2022 08:08:49.622,12,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313253
02-14-2022 08:08:50.128,13,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313352
02-14-2022 08:08:51.137,14,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313550
02-14-2022 08:08:51.644,15,RECV,7E00698122224400202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031364F
02-14-2022 08:08:52.145,16,RECV,7E00698122224400202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031374E
02-14-2022 08:08:52.649,17,RECV,7E00698122224300202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031384E
02-14-2022 08:08:53.151,18,RECV,7E00698122224400202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031394C
02-14-2022 08:08:53.653,19,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323054
02-14-2022 08:08:54.156,20,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323153
02-14-2022 08:08:54.662,21,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323252
02-14-2022 08:08:55.164,22,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323351
02-14-2022 08:08:55.668,23,RECV,7E006981222244002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323450
