02-14-2022 03:03:59.980,-,API,"Coordinator_802,0013A20041C5375A,802.15.4 TH,2003,COM7 - 115200/8/N/1/N,1,46"

02-14-2022 02:52:25.760,0,RECV,7E004B8122224F00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020301B
02-14-2022 02:52:26.264,1,RECV,7E004B8122224E00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020311B
02-14-2022 02:52:26.766,2,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203219
02-14-2022 02:52:27.267,3,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203318
02-14-2022 02:52:27.770,4,RECV,7E004B81222250002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203416
02-14-2022 02:52:28.273,5,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203516
02-14-2022 02:52:29.278,6,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203714
02-14-2022 02:52:29.778,7,RECV,7E004B8122224E002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203814
02-14-2022 02:52:30.281,8,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203912
02-14-2022 02:52:30.784,9,RECV,7E004B8122224E00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031300B
02-14-2022 02:52:31.224,10,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313109
02-14-2022 02:52:31.729,11,RECV,7E004B8122224E002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313209
02-14-2022 02:52:32.232,12,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313307
02-14-2022 02:52:32.736,13,RECV,7E004B81222250002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313405
02-14-2022 02:52:33.236,14,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313505
02-14-2022 02:52:33.740,15,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313604
02-14-2022 02:52:34.244,16,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313703
02-14-2022 02:52:34.745,17,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313802
02-14-2022 02:52:35.248,18,RECV,7E004B81222250002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313900
02-14-2022 02:52:35.754,19,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323009
02-14-2022 02:52:36.263,20,RECV,7E004B81222250002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323107
02-14-2022 02:52:36.766,21,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323207
02-14-2022 02:52:37.269,22,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323306
02-14-2022 02:52:37.774,23,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323405
02-14-2022 02:52:38.279,24,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323504
02-14-2022 02:52:38.784,25,RECV,7E004B8122224E002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323604
02-14-2022 02:52:39.287,26,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323702
02-14-2022 02:52:39.791,27,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323801
02-14-2022 02:52:40.299,28,RECV,7E004B8122224E002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323901
02-14-2022 02:52:40.742,29,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333008
02-14-2022 02:52:41.311,30,RECV,7E004B8122224E002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333108
02-14-2022 02:52:41.752,31,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333206
02-14-2022 02:52:42.258,32,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333305
02-14-2022 02:52:42.763,33,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333404
02-14-2022 02:52:43.268,34,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333503
02-14-2022 02:52:43.775,35,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333602
02-14-2022 02:52:44.282,36,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333701
02-14-2022 02:52:44.784,37,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020333800
02-14-2022 02:52:45.288,38,RECV,7E004B8122224F0020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203339FF
02-14-2022 02:52:45.792,39,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020343007
02-14-2022 02:52:46.296,40,RECV,7E004B81222250002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020343105
02-14-2022 02:52:46.802,41,RECV,7E004B81222250002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020343204
02-14-2022 02:52:47.305,42,RECV,7E004B81222250002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020343303
02-14-2022 02:52:47.811,43,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020343403
02-14-2022 02:52:48.319,44,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020343502
02-14-2022 02:52:48.760,45,RECV,7E004B81222250002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020343600
02-14-2022 02:52:49.265,46,RECV,7E004B812222500020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203437FF
02-14-2022 02:52:49.771,47,RECV,7E004B8122224F0020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203438FF
02-14-2022 02:52:50.274,48,RECV,7E004B8122224F0020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203439FE
02-14-2022 02:52:50.775,49,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020353006
02-14-2022 02:52:51.280,50,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020353105
02-14-2022 02:52:51.787,51,RECV,7E004B8122224F002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020353204
