02-12-2022 17:41:18.586,-,API,"Coordinator_802,0013A20041C5375A,802.15.4 TH,2003,COM7 - 115200/8/N/1/N,1,46"

02-12-2022 17:31:55.082,0,RECV,7E00198122224D0020202020202020202020202020202020202020305D
02-12-2022 17:31:55.581,1,RECV,7E00198122224C0020202020202020202020202020202020202020315D
02-12-2022 17:31:56.081,2,RECV,7E00198122224D0020202020202020202020202020202020202020325B
02-12-2022 17:31:56.581,3,RECV,7E00198122224A0020202020202020202020202020202020202020335D
02-12-2022 17:31:57.083,4,RECV,7E00198122224D00202020202020202020202020202020202020203459
02-12-2022 17:31:57.585,5,RECV,7E00198122224D00202020202020202020202020202020202020203558
02-12-2022 17:31:58.085,6,RECV,7E00198122224D00202020202020202020202020202020202020203657
02-12-2022 17:31:58.585,7,RECV,7E00198122224E00202020202020202020202020202020202020203755
02-12-2022 17:31:59.093,8,RECV,7E00198122224E00202020202020202020202020202020202020203854
02-12-2022 17:31:59.602,9,RECV,7E00198122224D00202020202020202020202020202020202020203954
02-12-2022 17:32:00.103,10,RECV,7E00198122224F0020202020202020202020202020202020202031304A
02-12-2022 17:32:00.610,11,RECV,7E00198122224C0020202020202020202020202020202020202031314C
02-12-2022 17:32:01.113,12,RECV,7E00198122224D0020202020202020202020202020202020202031324A
02-12-2022 17:32:01.615,13,RECV,7E00198122224C0020202020202020202020202020202020202031334A
02-12-2022 17:32:02.112,14,RECV,7E00198122224E00202020202020202020202020202020202020313447
02-12-2022 17:32:02.616,15,RECV,7E00198122224E00202020202020202020202020202020202020313546
02-12-2022 17:32:03.622,16,RECV,7E00198122224D00202020202020202020202020202020202020313745
02-12-2022 17:32:04.062,17,RECV,7E00198122224E00202020202020202020202020202020202020313843
02-12-2022 17:32:04.580,18,RECV,7E00198122224D00202020202020202020202020202020202020313943
02-12-2022 17:32:05.129,19,RECV,7E00198122224D0020202020202020202020202020202020202032304B
02-12-2022 17:32:05.570,20,RECV,7E00198122224E00202020202020202020202020202020202020323149
02-12-2022 17:32:06.074,21,RECV,7E00198122224D00202020202020202020202020202020202020323249
02-12-2022 17:32:06.577,22,RECV,7E00198122224D00202020202020202020202020202020202020323348
02-12-2022 17:32:07.077,23,RECV,7E00198122224D00202020202020202020202020202020202020323447
02-12-2022 17:32:07.580,24,RECV,7E00198122224D00202020202020202020202020202020202020323546
02-12-2022 17:32:08.084,25,RECV,7E00198122224D00202020202020202020202020202020202020323645
02-12-2022 17:32:08.588,26,RECV,7E00198122224D00202020202020202020202020202020202020323744
02-12-2022 17:32:09.094,27,RECV,7E00198122224D00202020202020202020202020202020202020323843
02-12-2022 17:32:09.601,28,RECV,7E00198122224D00202020202020202020202020202020202020323942
02-12-2022 17:32:10.106,29,RECV,7E00198122224D0020202020202020202020202020202020202033304A
02-12-2022 17:32:10.610,30,RECV,7E00198122224D00202020202020202020202020202020202020333149
02-12-2022 17:32:11.111,31,RECV,7E00198122224D00202020202020202020202020202020202020333248
02-12-2022 17:32:11.616,32,RECV,7E00198122224D00202020202020202020202020202020202020333347
02-12-2022 17:32:12.119,33,RECV,7E00198122224D00202020202020202020202020202020202020333446
02-12-2022 17:32:12.626,34,RECV,7E00198122224D00202020202020202020202020202020202020333545
02-12-2022 17:32:13.067,35,RECV,7E00198122224D00202020202020202020202020202020202020333644
02-12-2022 17:32:13.629,36,RECV,7E00198122224D00202020202020202020202020202020202020333743
02-12-2022 17:32:14.131,37,RECV,7E00198122224C00202020202020202020202020202020202020333843
02-12-2022 17:32:14.571,38,RECV,7E00198122224D00202020202020202020202020202020202020333941
02-12-2022 17:32:15.073,39,RECV,7E00198122224D00202020202020202020202020202020202020343049
02-12-2022 17:32:15.638,40,RECV,7E00198122224D00202020202020202020202020202020202020343148
02-12-2022 17:32:16.077,41,RECV,7E00198122224D00202020202020202020202020202020202020343247
02-12-2022 17:32:16.583,42,RECV,7E00198122224D00202020202020202020202020202020202020343346
02-12-2022 17:32:17.088,43,RECV,7E00198122224D00202020202020202020202020202020202020343445
02-12-2022 17:32:17.589,44,RECV,7E00198122224D00202020202020202020202020202020202020343544
02-12-2022 17:32:18.098,45,RECV,7E00198122224D00202020202020202020202020202020202020343643
02-12-2022 17:32:18.597,46,RECV,7E00198122224D00202020202020202020202020202020202020343742
02-12-2022 17:32:19.099,47,RECV,7E00198122224D00202020202020202020202020202020202020343841
02-12-2022 17:32:19.598,48,RECV,7E00198122224D00202020202020202020202020202020202020343940
02-12-2022 17:32:20.101,49,RECV,7E00198122224D00202020202020202020202020202020202020353048
02-12-2022 17:32:20.606,50,RECV,7E00198122224D00202020202020202020202020202020202020353147
02-12-2022 17:32:21.600,51,RECV,7E00198122224C00202020202020202020202020202020202020353346
02-12-2022 17:32:22.103,52,RECV,7E00198122224D00202020202020202020202020202020202020353444
02-12-2022 17:32:22.604,53,RECV,7E00198122224D00202020202020202020202020202020202020353543
02-12-2022 17:32:23.104,54,RECV,7E00198122224D00202020202020202020202020202020202020353642
02-12-2022 17:32:23.607,55,RECV,7E00198122224C00202020202020202020202020202020202020353742
02-12-2022 17:32:24.109,56,RECV,7E00198122224D00202020202020202020202020202020202020353840
02-12-2022 17:32:24.612,57,RECV,7E00198122224D0020202020202020202020202020202020202035393F
02-12-2022 17:32:25.115,58,RECV,7E00198122224D00202020202020202020202020202020202020363047
02-12-2022 17:32:25.617,59,RECV,7E00198122224D00202020202020202020202020202020202020363146
02-12-2022 17:32:26.119,60,RECV,7E00198122224D00202020202020202020202020202020202020363245
02-12-2022 17:32:26.617,61,RECV,7E00198122224D00202020202020202020202020202020202020363344
02-12-2022 17:32:27.122,62,RECV,7E00198122224D00202020202020202020202020202020202020363443
02-12-2022 17:32:27.626,63,RECV,7E00198122224D00202020202020202020202020202020202020363542
02-12-2022 17:32:28.127,64,RECV,7E00198122224C00202020202020202020202020202020202020363642
02-12-2022 17:32:28.629,65,RECV,7E00198122224D00202020202020202020202020202020202020363740
02-12-2022 17:32:29.133,66,RECV,7E00198122224D0020202020202020202020202020202020202036383F
02-12-2022 17:32:29.634,67,RECV,7E00198122224D0020202020202020202020202020202020202036393E
02-12-2022 17:32:30.135,68,RECV,7E00198122224D00202020202020202020202020202020202020373046
