02-13-2022 22:46:43.566,-,API,"Coordinator_802,0013A20041C5375A,802.15.4 TH,2003,COM7 - 115200/8/N/1/N,1,46"

02-13-2022 22:36:16.241,0,RECV,7E003781222247002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202030A3
02-13-2022 22:36:16.748,1,RECV,7E003781222248002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031A1
02-13-2022 22:36:17.250,2,RECV,7E003781222248002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032A0
02-13-2022 22:36:17.753,3,RECV,7E0037812222480020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020339F
02-13-2022 22:36:18.260,4,RECV,7E003781222245002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202034A1
02-13-2022 22:36:18.764,5,RECV,7E0037812222480020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020359D
02-13-2022 22:36:19.269,6,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020369D
02-13-2022 22:36:19.711,7,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020379C
02-13-2022 22:36:20.233,8,RECV,7E0037812222480020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020389A
02-13-2022 22:36:20.726,9,RECV,7E00378122224800202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203999
02-13-2022 22:36:21.232,10,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313092
02-13-2022 22:36:21.738,11,RECV,7E00378122224800202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313190
02-13-2022 22:36:22.245,12,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313290
02-13-2022 22:36:22.749,13,RECV,7E00378122224600202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313390
02-13-2022 22:36:23.251,14,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031348E
02-13-2022 22:36:23.761,15,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031358D
02-13-2022 22:36:24.266,16,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031368C
02-13-2022 22:36:24.770,17,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031378B
02-13-2022 22:36:25.275,18,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031388A
02-13-2022 22:36:25.784,19,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313989
02-13-2022 22:36:26.224,20,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323091
02-13-2022 22:36:26.747,21,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323190
02-13-2022 22:36:27.237,22,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032328F
02-13-2022 22:36:27.741,23,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032338E
02-13-2022 22:36:28.243,24,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032348D
02-13-2022 22:36:29.250,25,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032368B
02-13-2022 22:36:29.756,26,RECV,7E0037812222470020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202032378A
02-13-2022 22:36:30.262,27,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323889
02-13-2022 22:36:30.762,28,RECV,7E00378122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020323988
02-13-2022 22:36:31.266,29,RECV,7E0037812222480020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202033308F
